Order Date,Region,Country,Category,Product,Sales Rep,Channel,Units Sold,Unit Price,Unit Cost,Revenue,Cost,Profit,Margin %
2025-01-01,West,Germany,Apparel,Running Shoes,L. Rossi,Online,31,$74.99,$39.74,"$2,324.69","$1,231.94","$1,092.75",47.0%
2025-01-01,North,USA,Office,Desk Chair,R. Chen,Retail Store,27,$179.99,$82.80,"$4,859.73","$2,235.60","$2,624.13",54.0%
2025-01-02,North,Canada,Office,Desk Lamp,L. Rossi,Retail Store,16,$29.99,$16.79,$479.84,$268.64,$211.20,44.0%
2025-01-02,North,USA,Home & Kitchen,Air Fryer,K. Ivanova,Online,10,$89.99,$53.99,$899.90,$539.90,$360.00,40.0%
2025-01-02,East,Japan,Apparel,Backpack,J. Kim,Online,11,$54.99,$26.95,$604.89,$296.45,$308.44,51.0%
2025-01-02,West,UK,Apparel,Backpack,J. Kim,Online,16,$54.99,$26.95,$879.84,$431.20,$448.64,51.0%
2025-01-04,East,Japan,Home & Kitchen,Cookware Set,T. Novak,Wholesale,20,$119.99,$56.40,"$2,399.80","$1,128.00","$1,271.80",53.0%
2025-01-04,East,India,Home & Kitchen,Blender,A. Patel,Retail Store,18,$44.99,$28.34,$809.82,$510.12,$299.70,37.0%
2025-01-04,North,USA,Electronics,Bluetooth Speaker,L. Rossi,Retail Store,31,$39.99,$20.39,"$1,239.69",$632.09,$607.60,49.0%
2025-01-04,East,India,Electronics,Bluetooth Speaker,A. Patel,Retail Store,10,$39.99,$20.39,$399.90,$203.90,$196.00,49.0%
2025-01-05,South,Brazil,Apparel,Backpack,K. Ivanova,Wholesale,18,$54.99,$26.95,$989.82,$485.10,$504.72,51.0%
2025-01-07,West,Germany,Office,Desk Chair,K. Ivanova,Online,38,$179.99,$82.80,"$6,839.62","$3,146.40","$3,693.22",54.0%
2025-01-07,East,Japan,Office,Notebook Set,A. Patel,Online,35,$14.99,$8.69,$524.65,$304.15,$220.50,42.0%
2025-01-08,North,USA,Home & Kitchen,Cookware Set,K. Ivanova,Online,26,$119.99,$56.40,"$3,119.74","$1,466.40","$1,653.34",53.0%
2025-01-08,South,Argentina,Electronics,Wireless Earbuds,T. Novak,Retail Store,9,$59.99,$34.79,$539.91,$313.11,$226.80,42.0%
2025-01-08,East,Japan,Home & Kitchen,Coffee Maker,L. Rossi,Retail Store,33,$69.99,$41.29,"$2,309.67","$1,362.57",$947.10,41.0%
2025-01-08,North,USA,Apparel,Backpack,S. Owusu,Wholesale,18,$54.99,$26.95,$989.82,$485.10,$504.72,51.0%
2025-01-08,South,Brazil,Apparel,Jacket,A. Patel,Wholesale,7,$99.99,$46.00,$699.93,$322.00,$377.93,54.0%
2025-01-09,West,Germany,Home & Kitchen,Cookware Set,A. Patel,Wholesale,30,$119.99,$56.40,"$3,599.70","$1,692.00","$1,907.70",53.0%
2025-01-09,South,Brazil,Home & Kitchen,Cookware Set,M. Silva,Retail Store,28,$119.99,$56.40,"$3,359.72","$1,579.20","$1,780.52",53.0%
2025-01-09,South,Brazil,Office,Desk Chair,A. Patel,Retail Store,27,$179.99,$82.80,"$4,859.73","$2,235.60","$2,624.13",54.0%
2025-01-10,North,Canada,Apparel,Jacket,A. Patel,Online,37,$99.99,$46.00,"$3,699.63","$1,702.00","$1,997.63",54.0%
2025-01-10,East,Japan,Apparel,Backpack,R. Chen,Wholesale,33,$54.99,$26.95,"$1,814.67",$889.35,$925.32,51.0%
2025-01-11,South,Brazil,Home & Kitchen,Cookware Set,J. Kim,Retail Store,14,$119.99,$56.40,"$1,679.86",$789.60,$890.26,53.0%
2025-01-12,East,India,Home & Kitchen,Coffee Maker,T. Novak,Online,40,$69.99,$41.29,"$2,799.60","$1,651.60","$1,148.00",41.0%
2025-01-12,South,Argentina,Office,Notebook Set,S. Owusu,Online,34,$14.99,$8.69,$509.66,$295.46,$214.20,42.0%
2025-01-13,East,India,Electronics,Laptop Stand,T. Novak,Retail Store,8,$24.99,$12.25,$199.92,$98.00,$101.92,51.0%
2025-01-13,South,Argentina,Electronics,Bluetooth Speaker,A. Patel,Retail Store,25,$39.99,$20.39,$999.75,$509.75,$490.00,49.0%
2025-01-13,West,Germany,Electronics,Wireless Earbuds,J. Kim,Online,17,$59.99,$34.79,"$1,019.83",$591.43,$428.40,42.0%
2025-01-14,South,Argentina,Office,Desk Chair,T. Novak,Retail Store,29,$179.99,$82.80,"$5,219.71","$2,401.20","$2,818.51",54.0%
2025-01-15,West,Germany,Office,Monitor Arm,K. Ivanova,Wholesale,40,$64.99,$31.85,"$2,599.60","$1,274.00","$1,325.60",51.0%
2025-01-15,South,Brazil,Office,Desk Chair,T. Novak,Wholesale,14,$179.99,$82.80,"$2,519.86","$1,159.20","$1,360.66",54.0%
2025-01-16,East,India,Office,Notebook Set,R. Chen,Wholesale,7,$14.99,$8.69,$104.93,$60.83,$44.10,42.0%
2025-01-16,East,Japan,Office,Notebook Set,K. Ivanova,Retail Store,18,$14.99,$8.69,$269.82,$156.42,$113.40,42.0%
2025-01-17,North,USA,Electronics,Laptop Stand,S. Owusu,Online,27,$24.99,$12.25,$674.73,$330.75,$343.98,51.0%
2025-01-17,North,Canada,Electronics,Bluetooth Speaker,A. Patel,Online,1,$39.99,$20.39,$39.99,$20.39,$19.60,49.0%
2025-01-18,East,India,Electronics,Bluetooth Speaker,S. Owusu,Retail Store,12,$39.99,$20.39,$479.88,$244.68,$235.20,49.0%
2025-01-18,North,USA,Apparel,Sunglasses,A. Patel,Wholesale,10,$34.99,$19.24,$349.90,$192.40,$157.50,45.0%
2025-01-18,West,Germany,Office,Desk Chair,K. Ivanova,Online,6,$179.99,$82.80,"$1,079.94",$496.80,$583.14,54.0%
2025-01-19,East,India,Electronics,Smart Watch,A. Patel,Online,20,$149.99,$69.00,"$2,999.80","$1,380.00","$1,619.80",54.0%
2025-01-19,South,Brazil,Apparel,Backpack,J. Kim,Online,27,$54.99,$26.95,"$1,484.73",$727.65,$757.08,51.0%
2025-01-19,South,Brazil,Apparel,Sunglasses,L. Rossi,Wholesale,36,$34.99,$19.24,"$1,259.64",$692.64,$567.00,45.0%
2025-01-19,East,Japan,Home & Kitchen,Blender,R. Chen,Online,36,$44.99,$28.34,"$1,619.64","$1,020.24",$599.40,37.0%
2025-01-20,North,Canada,Apparel,Backpack,L. Rossi,Retail Store,33,$54.99,$26.95,"$1,814.67",$889.35,$925.32,51.0%
2025-01-20,North,Canada,Apparel,Running Shoes,J. Kim,Retail Store,33,$74.99,$39.74,"$2,474.67","$1,311.42","$1,163.25",47.0%
2025-01-21,East,India,Home & Kitchen,Air Fryer,S. Owusu,Retail Store,27,$89.99,$53.99,"$2,429.73","$1,457.73",$972.00,40.0%
2025-01-21,South,Argentina,Office,Monitor Arm,S. Owusu,Online,19,$64.99,$31.85,"$1,234.81",$605.15,$629.66,51.0%
2025-01-21,South,Argentina,Electronics,Bluetooth Speaker,K. Ivanova,Retail Store,36,$39.99,$20.39,"$1,439.64",$734.04,$705.60,49.0%
